kmeans,random,greedy,hillclimber
29671,35629,29356,34747
29824,36250,29338,35152
29671,35521,29464,35125
29662,35935,29455,34999
29716,35962,29419,35350
29833,35773,29365,34945
29770,35782,29437,34927
29698,35287,29338,35440
29635,35719,29446,35332
29788,35863,29356,35476
29824,35638,29410,35062
29806,36142,29473,35062
29635,35350,29707,35116
29833,35827,29437,35332
29707,35359,29410,35656
29662,35737,29437,34720
29815,35890,29365,35449
29626,35332,29419,35215
29878,35773,29383,35368
29743,35944,29689,35134
29770,35926,29428,35287
29626,36142,29455,35476
29707,35935,29320,35458
29779,36259,29329,35287
29608,35557,29446,35836
29788,35602,29338,35539
29842,35539,29437,35368
29788,35701,29446,35368
29572,35953,29356,35341
29761,35692,29356,34909
29599,35665,29464,34918
29626,36007,29347,35368
29779,35413,29356,35017
29725,35557,29437,35161
29761,35512,29347,34855
29770,35188,29464,34846
29743,35557,29410,35269
29626,35512,29338,35422
29653,35602,29491,35350
29608,35350,29419,34990
29680,35809,29464,35602
29734,35404,29689,34909
29680,34990,29329,35395
29572,35890,29320,34900
29608,35161,29329,35224
29725,35863,29284,35287
29707,35962,29365,35359
29761,35629,29419,35512
29941,35566,29401,35521
29788,35440,29356,35062
29761,35386,29347,35377
29725,35881,29329,35665
29923,35674,29338,34990
29761,36358,29374,35467
29590,35890,29446,35431
29914,35908,29455,34900
29698,35368,29455,35206
29653,35764,29419,35422
29689,35890,29329,35161
29680,35944,29320,35503
29725,35314,29392,35188
29761,35512,29320,35161
29806,35539,29347,35125
29689,35854,29374,35683
29698,35296,29374,35386
29734,35917,29338,35476
29833,35836,29338,35638
29680,35809,29428,35224
29860,35476,29491,35134
29752,36061,29374,35107
29743,35197,29437,35062
29833,35566,29707,35539
29572,35512,29338,35413
29572,35728,29428,35926
29617,35242,29347,35449
29671,35620,29365,35341
29572,35611,29347,35215
29707,35953,29446,34999
29752,35638,29626,35440
29644,35683,29374,34864
29599,35629,29446,35044
29734,35737,29428,35404
29635,35971,29410,35512
29905,35593,29347,35251
29644,35755,29383,34729
29878,35935,29419,34927
29590,35287,29401,35674
29662,36124,29401,35170
29653,36034,29320,35152
29788,35305,29446,35449
29779,35620,29383,35323
29707,35926,29491,35359
29680,35530,29419,35323
29698,35467,29446,35458
29653,35773,29455,35026
29635,36106,29374,35395
29617,35674,29347,34981
29680,35809,29473,35053
29707,35719,29338,35224
29671,35512,29446,35530
29743,35872,29338,35026
29779,35404,29473,35485
29761,35701,29446,35107
29860,36043,29410,35323
29797,35746,29365,35449
29770,35656,29437,35098
29725,35494,29392,35143
29725,35611,29410,35602
29788,35611,29320,35197
29707,35404,29356,34774
29653,35539,29374,35125
29653,36088,29473,35044
29761,35746,29410,35602
